rep,scenario,status,n,n_sh,n_ns,true_mu,true_beta,true_Ksh,true_Kns,true_ash,true_ans,true_R,mu_hat,beta_hat,Ksh_hat,Kns_hat,ash_hat,ans_hat,R_hat,ll2,aic2,ll1,aic1,LR,lrt_p,R_lo,R_hi,R_covered,n_boot_ok,ks_p
41,A,ok,328,275,53,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.430993156628519,3.6396785104004,0.16937305528678,0.033106913586825444,1.1436487725511975,2.25,5.11594216847143,120.28909194453502,-228.57818388907003,119.10494760513825,-230.2098952102765,2.368288678793533,0.30600790641783604,0.27778213166204496,5891.415847714609,True,27,0.9946690645690119
42,A,ok,294,258,36,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.4723178895460216,9.852695280256931,0.07818818457303545,0.346559884898101,1.650737412444847,1.1237724507852124e-05,0.22561233420314966,79.75430787931589,-147.50861575863178,78.59463890620384,-149.18927781240768,2.3193379462240955,0.3135899704150942,0.318970656413992,107.80679166590129,True,27,0.27583149982184707
43,A,ok,317,280,37,2.5,4.0,0.15,0.02,1.2,0.2,7.5,3.060154907497207,10.000000000000002,0.04144903857851557,3.6314611198010875e-07,1.9194727820196795,0.004634491549388922,114138.73702931433,92.43056493716364,-172.86112987432728,89.88466059232087,-171.76932118464174,5.091808689685536,0.07840211736037916,0.13898318857637884,323.5926928875558,True,33,0.9822016766285273
44,A,ok,310,264,46,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.3943747953988685,6.668331822208339,0.14614102237008728,0.18442081197727045,1.3473278192204154,1.559786937738094e-06,0.7924323768192655,100.51374359673468,-189.02748719346937,97.44460159939251,-186.88920319878503,6.138283994684343,0.046461001423463655,0.27625741413163757,6396.241460380615,True,34,0.7494444577480159
45,A,ok,274,240,34,2.5,4.0,0.15,0.02,1.2,0.2,7.5,1.9609877046811943,1.940837806468364,0.21978151775067137,4.3855123288856826e-07,1.2409823375044569,0.035946105766169606,501153.57401472813,46.60238031872433,-81.20476063744866,43.86477962247511,-79.72955924495022,5.475201392498434,0.06472545677210628,0.18800646744592273,173.24291712566747,True,34,0.920673895154573
46,A,ok,294,245,49,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.113653007254769,5.056804705727455,0.2436853613142214,0.23417916537746966,0.8433021668822551,3.2718600905935277e-06,1.04059368783482,78.50385554953061,-145.00771109906123,77.10341235221733,-146.20682470443467,2.800886394626559,0.2464876970449108,0.3737581805075764,80.8135753351534,True,32,0.9135101776927932
47,A,ok,361,314,47,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.3194960866781584,4.078940234997303,0.16163262257772176,0.46955494248951446,1.1419891484509108,0.016384845823038712,0.3442251543999692,201.46105021373944,-390.9221004274789,200.7697827888951,-393.5395655777902,1.3825348496886818,0.5009407617819568,0.22985397568295826,3278.1948744960687,True,35,0.9557666063027429
48,A,ok,266,220,46,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.396842939787363,3.5856999226979984,0.09349138103655087,0.22422115209941423,1.0382029196970308,1.0000001197979873e-06,0.41696057736381203,27.922401040320494,-43.84480208064099,26.26517650315708,-44.53035300631416,3.3144490743268307,0.19066743679129639,0.10401331270490613,8779.99239027985,True,37,0.7107293013787872
49,A,ok,286,247,39,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.782745064433682,10.000000000000002,0.10158992421487092,2.9500609428864486e-08,0.7172496980998934,0.6580567524776398,3443655.1034593745,49.380929232915776,-86.76185846583155,48.3238650040978,-88.6477300081956,2.1141284576359567,0.3474744197844142,0.15091849535989424,542.3934864333595,True,36,0.9367427541574997
50,A,ok,322,278,44,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.276015769383507,2.7569373483310513,0.31089826612350907,0.01771145180438808,0.5078802160471226,2.25,17.55351676176443,104.38926915215029,-196.77853830430058,102.5803173596978,-197.1606347193956,3.6179035849049797,0.1638257702421002,0.27476959220927455,42.24655762348647,True,27,0.7710698299368518
51,A,ok,328,287,41,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.666823931912667,4.233065300345835,0.12021519310187571,9.999999999999982e-09,1.381966933404389,1.0000000000000004e-06,12021519.310187593,118.48031443977936,-224.96062887955873,113.82884462229543,-219.65768924459087,9.302939634967856,0.009547558444060855,0.19629434198366602,12.75006961045553,True,28,0.6812334900059057
52,A,ok,294,257,37,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.257544584973821,4.168395316765033,0.11981295279944099,0.19451362187342625,1.556177256755672,0.5581807265455795,0.6159617596211621,75.87583705857907,-139.75167411715813,75.63382071703188,-143.26764143406376,0.48403268309436953,0.7850433486240839,0.2636152661128168,27.731996602346435,True,30,0.7841000332790169
53,A,ok,330,278,52,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.710044158885416,6.182965572970475,0.2734587250067735,2.855551564605744e-07,0.28601918730107345,0.041613686215995586,957638.8967941083,112.42373759646972,-212.84747519293944,109.33841752196923,-210.67683504393847,6.170640149000974,0.0457153992246786,0.25742458422358,329.4003032596836,True,35,0.7487333152428813
54,A,ok,317,267,50,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5932353973755427,2.777714327001054,0.2861362099403507,0.03728129391003427,0.000722920051499562,2.25,7.675061134703189,88.91026910443406,-165.82053820886813,86.8813621261931,-165.7627242523862,4.057813956481937,0.13147915221248163,0.22167535564950347,44.60914146383989,True,37,0.7855773009483055
55,A,ok,333,289,44,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.1098454430547386,2.353942035374813,0.2717253846829328,0.16754253595355914,0.9340742308756536,0.18880198889918404,1.6218292455490344,124.11833997264381,-236.23667994528762,123.31711530734037,-238.63423061468075,1.6024493306068734,0.4487790233404658,0.3964759632338944,46.83454653055993,True,30,0.2962436534814792
56,A,ok,309,258,51,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.477458869082494,4.500582645696827,0.14019008048071763,0.0719370065404563,1.4044068343977898,0.9005637861183059,1.9487894648754507,89.01064406362377,-166.02128812724754,87.14386794029792,-166.28773588059585,3.7335522466516977,0.1546213392877437,0.3645859355507173,93.835225297984,True,33,0.884953258629306
57,A,ok,315,275,40,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5701447685960503,9.13059005527311,0.19016572550684785,0.3537247206292292,0.5698821175680998,3.4861999133582413e-06,0.5376093736637019,96.78036006507324,-181.56072013014648,96.38039897396004,-184.76079794792008,0.7999221822263962,0.6703461279498373,0.19518631578852702,398.7531965560009,True,26,0.700362538529075
58,A,ok,264,233,31,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.110446506580721,5.731617104454038,0.21960006058486892,1.1272354086657926e-06,0.7023278780119278,0.03534190535343013,194812.9546824561,35.279371777458664,-58.55874355491733,34.03291943185792,-60.06583886371584,2.4929046912014883,0.2875230219506042,0.2962742342866825,5168.470360165075,True,34,0.966280460330304
59,A,ok,345,295,50,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5204276028864636,2.8898831803488503,0.2717652196369727,8.81371112104064e-07,0.7548668884615488,0.20746822851542052,308343.68849257816,131.6911358324278,-251.38227166485558,130.46031708720398,-252.92063417440795,2.461637490447629,0.29205336247044533,0.37363247966921087,519.4799368843188,True,29,0.9594964441544427
60,A,ok,312,265,47,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.162024918885361,2.3883408291661405,0.20609058070437816,0.11455980204088682,1.1703226777078521,2.956604245163901e-05,1.7989781496900952,96.39379399673703,-180.78758799347406,95.126307982058,-182.252615964116,2.534972029358073,0.281538516542418,0.33247601152952266,446.1494567618827,True,36,0.4871054585868313
61,A,ok,295,248,47,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.7094085855960888,7.219697049782158,0.15842426097856438,0.014016438127403903,0.542148681376587,2.25,11.302747498226742,61.306947441474904,-110.61389488294981,60.572350170912216,-113.14470034182443,1.4691945411253755,0.47969860882953075,0.27810155729932584,617.886728901755,True,32,0.7813301953561953
62,A,ok,313,271,42,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.1941776357497376,2.322515781079354,0.27861603548911645,0.03487811905204572,0.7574840027968913,1.534561517456901,7.988275832001172,89.7935968498511,-167.5871936997022,89.1198289606101,-170.2396579212202,1.3475357784819835,0.5097841443445706,0.15443610172473496,47.001620629708654,True,34,0.4661988674600176
63,A,ok,324,262,62,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.6300880514659277,5.067485885951083,0.174154248791722,0.10061935791346031,1.1051725994737602,0.43541569663605445,1.7308225017844663,105.83045943425947,-199.66091886851893,105.1374981133286,-202.2749962266572,1.3859226418617254,0.5000929384510269,0.3359677152265415,149.3032732963641,True,33,0.8522165930680632
64,A,ok,287,249,38,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.302498632094116,5.803015919495223,0.15605157923782664,0.029195290856022953,1.2027905414932543,2.25,5.345094179996272,63.65466588411431,-115.30933176822862,62.89617134373651,-117.79234268747302,1.516989080755593,0.46837101016010163,0.257559591985092,2296.7416955411954,True,36,0.9319580764646344
65,A,ok,303,257,46,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.4542387127527427,4.948519995412259,0.15356401197860525,0.020853122330171957,1.1329900322293838,0.00039711049479370514,7.364077644929777,85.09283647033493,-158.18567294066986,83.2323015282862,-158.4646030565724,3.72106988409746,0.15558937680207896,0.18130390826224063,21.526797327753496,True,32,0.4506256012362838
66,A,ok,301,253,48,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.289398356993841,3.063457445061684,0.20964782147551564,9.999999999999982e-09,0.9732896242348683,0.0028100569335406875,20964782.1475516,78.37125392268666,-144.74250784537332,75.89407546413054,-143.78815092826108,4.95435691711225,0.08397984423151816,0.3904934369214328,102.55336233840794,True,30,0.18027107345880578
